field,label,family,tested_platform,tested_local,local_status,in_catalog
is_n_asset_mg_income,受托客户资产管理业务净收入,fields-income-statement.md,,local,unavailable,1
is_n_commis_income,手续费及佣金净收入,fields-income-statement.md,,local,unavailable,1
is_n_income,净利润,fields-income-statement.md,,local,local_proxy,1
is_n_income_attr_p,归属母公司净利润,fields-income-statement.md,,local,local_proxy,1
is_n_oth_income,非经营性净收益,fields-income-statement.md,,local,unavailable,1
is_n_sec_tb_income,代理买卖证券业务净收入,fields-income-statement.md,,,unavailable,1
is_n_sec_uw_income,证券承销业务净收入,fields-income-statement.md,,local,unavailable,1
is_nca_disploss,非流动资产处置净损失,fields-income-statement.md,,local,unavailable,1
is_net_after_nr,扣除非经常性损益后的净利润,fields-income-statement.md,,local,unavailable,1
is_net_expo_hedging,净敞口套期收益,fields-income-statement.md,,local,unavailable,1
is_net_interest_inc,利息净收入,fields-income-statement.md,,local,unavailable,1
is_non_oper_exp,营业外支出,fields-income-statement.md,,local,unavailable,1
is_non_oper_income,营业外收入,fields-income-statement.md,,local,unavailable,1
is_non_recurring_pnl,非经常性损益,fields-income-statement.md,,local,unavailable,1
is_oci_classified,以后能重分类进损益表的OCI,fields-income-statement.md,,,unavailable,1
is_oci_equity_class,权益法下能重分类的OCI份额,fields-income-statement.md,,,unavailable,1
is_oci_equity_unclass,权益法下不能重分类的OCI份额,fields-income-statement.md,,,unavailable,1
is_oci_minority,归属于少数股东的OCI,fields-income-statement.md,,,unavailable,1
is_oci_unclassified,以后不能重分类进损益表的OCI,fields-income-statement.md,,,unavailable,1
is_oper_admin_exp,业务及管理费用,fields-income-statement.md,,local,unavailable,1
is_oper_cost,营业成本,fields-income-statement.md,,local,local_proxy,1
is_oper_exp,营业支出(金融类),fields-income-statement.md,,,unavailable,1
is_operate_profit,营业利润,fields-income-statement.md,,local,local_proxy,1
is_oth_affecting_np,影响净利润的其他科目,fields-income-statement.md,,local,local_proxy,1
is_oth_affecting_tp,影响利润总额的其他科目,fields-income-statement.md,,local,local_proxy,1
is_oth_b_income,其他经营收入,fields-income-statement.md,,,unavailable,1
is_oth_compr_income,其他综合收益,fields-income-statement.md,,local,unavailable,1
is_oth_debt_invest_chg,其他债权投资公允价值变动,fields-income-statement.md,,,unavailable,1
is_oth_debt_invest_reserve,其他债权投资信用减值准备,fields-income-statement.md,,,unavailable,1
is_oth_eqt_instruments_chg,其他权益工具投资公允价值变动,fields-income-statement.md,,,unavailable,1
is_oth_income,其他收益,fields-income-statement.md,,,unavailable,1
is_oth_oci,其他OCI,fields-income-statement.md,,,unavailable,1
is_other_bus_cost,其他经营成本,fields-income-statement.md,,local,unavailable,1
is_out_prem,减:分出保费,fields-income-statement.md,,local,unavailable,1
is_prem_earned,已赚保费,fields-income-statement.md,,local,unavailable,1
is_prem_income,保险业务收入,fields-income-statement.md,,,unavailable,1
is_prem_refund,退保金,fields-income-statement.md,,local,unavailable,1
is_rd_exp,研发费用,fields-income-statement.md,,,unavailable,1
is_reins_cost_refund,减:摊回分保费用,fields-income-statement.md,,local,unavailable,1
is_reins_exp,分保费用,fields-income-statement.md,,,unavailable,1
is_reins_income,分保费收入,fields-income-statement.md,,,unavailable,1
is_remeasured_oci,重新计量设定收益计划变动,fields-income-statement.md,,,unavailable,1
is_reserve_insur_liab,提取保险责任准备金,fields-income-statement.md,,,unavailable,1
is_revenue,营业收入,fields-income-statement.md,,local,local_proxy,1
is_sell_exp,销售费用,fields-income-statement.md,,local,unavailable,1
is_t_compr_income,综合收益总额,fields-income-statement.md,,local,unavailable,1
is_total_cogs,营业总成本,fields-income-statement.md,,local,unavailable,1
is_total_profit,利润总额,fields-income-statement.md,,local,local_proxy,1
is_total_revenue,营业总收入,fields-income-statement.md,,local,local_proxy,1
is_une_prem_reserve,提取未到期责任准备金,fields-income-statement.md,,,unavailable,1
leverage,杠杆,fields-barra.md,,,unknown,1
liquidity,流动性,fields-barra.md,,,unknown,1
mcst,"MCST = DMA(AMOUNT / VOLUME, 100 * VOLUME / CAPITAL)<br>AMOUNT 代表成交额<br>CAPITAL 代表流通股本",fields-ma-indicators.md,,local,local_proxy,1
mfi,"TYP = (HIGH + LOW + CLOSE) / 3<br>V1 = SUM(IF(TYP > REF(TYP, 1), TYP * VOLUME, 0), N) / SUM(IF(TYP < REF(TYP, 1), TYP * VOLUME, 0), N)<br>MFI = 100 - ( 100 / ( 1 + V1 ) )",fields-oscillators.md,platform,local,local_proxy,1
momentum,动量,fields-barra.md,,,unknown,1
non_linear_market_cap,非线性市值,fields-barra.md,,,unknown,1
obos,过去 N 日股票上涨家数之和 – 过去 N 日股票下跌家数之和。,fields-oscillators.md,,local,local_proxy,1
obv,"OBV=REF(OBV, 1) + sgn × VOLUME<br>其中，sgn 是符号函数，其数值由下式决定：<br>sgn=1 , CLOSE>REF(CLOSE, 1)<br>sgn=0, CLOSE = REF(CLOSE, 1)<br>sgn=-1 , CLOSE< REF(CLOSE, 1)",fields-volume-indicators.md,,local,local_proxy,1
oper_adj_diluted_eps_lyr,稀释每股收益_扣除lyr,fields-operating-derived.md,,local,unavailable,1
oper_adj_diluted_eps_ttm,稀释每股收益_扣除ttm,fields-operating-derived.md,,local,unavailable,1
oper_adj_eps_lyr,基本每股收益_扣除lyr,fields-operating-derived.md,,local,unavailable,1
oper_adj_eps_ttm,基本每股收益_扣除ttm,fields-operating-derived.md,,local,unavailable,1
oper_adj_profit_ratio_lyr,扣除非经常损益后的净利润与净利润之比lyr,fields-operating-derived.md,,local,unavailable,1
oper_adj_profit_ratio_ttm,扣除非经常损益后的净利润与净利润之比ttm,fields-operating-derived.md,platform,local,unavailable,1
oper_ap_payment_days_lyr,应付账款付款期lyr,fields-operating-derived.md,,,unavailable,1
oper_ap_payment_days_ttm,应付账款付款期ttm,fields-operating-derived.md,,,unavailable,1
oper_ap_turnover_days_lyr,应付账款周转天数lyr,fields-operating-derived.md,,,unavailable,1
oper_ap_turnover_days_ttm,应付账款周转天数ttm,fields-operating-derived.md,,,unavailable,1
oper_ap_turnover_lyr,应付账款周转率lyr,fields-operating-derived.md,,,unavailable,1
oper_ap_turnover_ttm,应付账款周转率ttm,fields-operating-derived.md,,,unavailable,1
oper_ar_turnover_days_lyr,应收账款周转天数lyr,fields-operating-derived.md,,local,unavailable,1
oper_ar_turnover_days_ttm,应收账款周转天数ttm,fields-operating-derived.md,,local,unavailable,1
oper_ar_turnover_lyr,应收账款周转率lyr,fields-operating-derived.md,,local,unavailable,1
oper_ar_turnover_ttm,应收账款周转率ttm,fields-operating-derived.md,,local,unavailable,1
oper_cash_conv_cycle_lyr,现金转换周期lyr,fields-operating-derived.md,,,unavailable,1
oper_cash_conv_cycle_ttm,现金转换周期ttm,fields-operating-derived.md,,,unavailable,1
oper_cost_to_sales_lyr,销售成本率lyr,fields-operating-derived.md,,local,unavailable,1
oper_cost_to_sales_ttm,销售成本率ttm,fields-operating-derived.md,,local,unavailable,1
oper_cur_asset_turnover_lyr,流动资产周转率lyr,fields-operating-derived.md,,local,unavailable,1
oper_cur_asset_turnover_ttm,流动资产周转率ttm,fields-operating-derived.md,,,unavailable,1
oper_diluted_eps_lyr,摊薄每股收益lyr,fields-operating-derived.md,,local,unavailable,1
oper_diluted_eps_ttm,摊薄每股收益ttm,fields-operating-derived.md,,local,unavailable,1
oper_diluted_shares_lyr,稀释普通股lyr,fields-operating-derived.md,,,unavailable,1
oper_diluted_shares_ttm,稀释普通股ttm,fields-operating-derived.md,,,unavailable,1
oper_du_ebit_to_rev_lyr,息税前利润/营业总收入lyr,fields-operating-derived.md,,local,unavailable,1
oper_du_ebit_to_rev_ttm,息税前利润/营业总收入ttm,fields-operating-derived.md,,local,unavailable,1
oper_du_net_margin_lyr,净利率(杜邦分析）lyr,fields-operating-derived.md,,local,local_proxy,1
oper_du_net_margin_ttm,净利率(杜邦分析）ttm,fields-operating-derived.md,,local,local_proxy,1
oper_du_roe_lyr,净资产收益率ROE(杜邦分析)lyr,fields-operating-derived.md,,local,local_proxy,1
oper_du_roe_ttm,净资产收益率ROE(杜邦分析)ttm,fields-operating-derived.md,,local,local_proxy,1
oper_ebit_lyr,息税前利润lyr,fields-operating-derived.md,,local,unavailable,1
oper_ebit_per_share_lyr,每股息税前利润lyr,fields-operating-derived.md,,local,unavailable,1
oper_ebit_per_share_ttm,每股息税前利润ttm,fields-operating-derived.md,,local,unavailable,1
oper_ebit_to_rev_lyr,税前收益率lyr,fields-operating-derived.md,,local,unavailable,1
oper_ebit_to_rev_ttm,税前收益率ttm,fields-operating-derived.md,,local,unavailable,1
oper_ebit_ttm,息税前利润ttm,fields-operating-derived.md,,local,unavailable,1
oper_ebitda_lyr,息税折旧摊销前利润lyr,fields-operating-derived.md,,local,unavailable,1
oper_ebitda_to_debt_lyr,息税折旧摊销前利润/负债总计lyr,fields-operating-derived.md,,local,unavailable,1
oper_ebitda_to_debt_ttm,息税折旧摊销前利润/负债总计ttm,fields-operating-derived.md,,,unavailable,1
oper_ebitda_ttm,息税折旧摊销前利润 ttm,fields-operating-derived.md,,,unavailable,1
oper_equity_turnover_lyr,股东权益周转率lyr,fields-operating-derived.md,,,unavailable,1
oper_equity_turnover_ttm,股东权益周转率ttm,fields-operating-derived.md,,,unavailable,1
oper_exp_to_rev_lyr,经营成本率lyr,fields-operating-derived.md,,local,unavailable,1
oper_exp_to_rev_ttm,经营成本率ttm,fields-operating-derived.md,,local,unavailable,1
oper_fix_asset_turnover_lyr,固定资产周转率lyr,fields-operating-derived.md,,,unavailable,1
oper_fix_asset_turnover_ttm,固定资产周转率ttm,fields-operating-derived.md,,local,unavailable,1
oper_gross_margin_lyr,销售毛利率lyr,fields-operating-derived.md,platform,local,local_proxy,1
oper_gross_margin_ttm,销售毛利率ttm,fields-operating-derived.md,platform,local,local_proxy,1
oper_int_coverage_lyr,利息保障倍数lyr,fields-operating-derived.md,,local,unavailable,1
oper_int_coverage_ttm,利息保障倍数ttm,fields-operating-derived.md,,local,unavailable,1
oper_inv_profit_to_tp_lyr,价值变动净收益与利润总额之比lyr,fields-operating-derived.md,,local,unavailable,1
oper_inv_profit_to_tp_ttm,价值变动净收益与利润总额之比ttm,fields-operating-derived.md,,local,unavailable,1
oper_inv_turnover_lyr,存货周转率lyr,fields-operating-derived.md,,local,unavailable,1
oper_inv_turnover_ttm,存货周转率ttm,fields-operating-derived.md,,local,unavailable,1
oper_main_profit_lyr,主营业务利润lyr,fields-operating-derived.md,,local,unavailable,1
oper_main_profit_ttm,主营业务利润ttm,fields-operating-derived.md,platform,local,unavailable,1
oper_net_margin_lyr,销售净利率lyr,fields-operating-derived.md,,,local_proxy,1
oper_net_margin_ttm,销售净利率ttm,fields-operating-derived.md,platform,local,local_proxy,1
oper_net_profit_to_rev_lyr,经营净利率lyr,fields-operating-derived.md,,local,local_proxy,1
oper_net_profit_to_rev_ttm,经营净利率ttm,fields-operating-derived.md,,local,local_proxy,1
oper_non_oper_to_tp_lyr,营业外收支净额与利润总额之比lyr,fields-operating-derived.md,,local,unavailable,1
oper_non_oper_to_tp_ttm,营业外收支净额与利润总额之比ttm,fields-operating-derived.md,,,unavailable,1
oper_oper_cycle_lyr,营业周期lyr,fields-operating-derived.md,,local,unavailable,1
oper_oper_cycle_ttm,营业周期ttm,fields-operating-derived.md,,local,unavailable,1
oper_oper_profit_to_rev_lyr,营业利润率lyr,fields-operating-derived.md,,local,unavailable,1
oper_oper_profit_to_rev_ttm,营业利润率ttm,fields-operating-derived.md,,local,unavailable,1
oper_oper_profit_to_tp_lyr,经营活动净收益与利润总额之比lyr,fields-operating-derived.md,,local,unavailable,1
oper_oper_profit_to_tp_ttm,经营活动净收益与利润总额之比ttm,fields-operating-derived.md,platform,local,unavailable,1
oper_oper_rev_per_share_lyr,每股营业收入lyr,fields-operating-derived.md,,local,unavailable,1
oper_oper_rev_per_share_ttm,每股营业收入ttm,fields-operating-derived.md,,local,unavailable,1
oper_revenue_per_share_lyr,每股营业总收入lyr,fields-operating-derived.md,,local,unavailable,1
oper_revenue_per_share_ttm,每股营业总收入ttm,fields-operating-derived.md,,local,unavailable,1
oper_roa_lyr,总资产报酬率lyr,fields-operating-derived.md,,local,local_proxy,1
oper_roa_net_lyr,总资产净利率lyr,fields-operating-derived.md,platform,local,unavailable,1
oper_roa_net_ttm,总资产净利率ttm,fields-operating-derived.md,platform,local,unavailable,1
oper_roa_ttm,总资产报酬率ttm,fields-operating-derived.md,,local,local_proxy,1
oper_roe_adj_lyr,净资产收益率_扣除lyr,fields-operating-derived.md,,,local_proxy,1
oper_roe_adj_ttm,净资产收益率_扣除ttm,fields-operating-derived.md,,,local_proxy,1
oper_roe_diluted_adj_lyr,摊薄净资产收益率_扣除lyr,fields-operating-derived.md,,local,local_proxy,1
oper_roe_diluted_adj_ttm,摊薄净资产收益率_扣除ttm,fields-operating-derived.md,,local,local_proxy,1
oper_roe_diluted_lyr,摊薄净资产收益率lyr,fields-operating-derived.md,,local,local_proxy,1
oper_roe_diluted_ttm,摊薄净资产收益率ttm,fields-operating-derived.md,,local,local_proxy,1
oper_roe_lyr,净资产收益率lyr,fields-operating-derived.md,platform,local,local_proxy,1
oper_roe_ttm,净资产收益率ttm,fields-operating-derived.md,platform,local,local_proxy,1
oper_roic_lyr,投入资本回报率lyr,fields-operating-derived.md,,local,local_proxy,1
oper_roic_ttm,投入资本回报率ttm,fields-operating-derived.md,platform,local,local_proxy,1
oper_tax_to_tp_lyr,所得税与利润总额之比lyr,fields-operating-derived.md,,,unavailable,1
oper_tax_to_tp_ttm,所得税与利润总额之比ttm,fields-operating-derived.md,,local,unavailable,1
oper_total_asset_turnover_lyr,总资产周转率lyr,fields-operating-derived.md,platform,local,local_proxy,1
oper_total_asset_turnover_ttm,总资产周转率ttm,fields-operating-derived.md,platform,local,local_proxy,1
oper_weighted_shares_lyr,普通股加权股本lyr,fields-operating-derived.md,,,unavailable,1
oper_weighted_shares_ttm,普通股加权股本ttm,fields-operating-derived.md,,,unavailable,1
osc,"100 * (CLOSE – MA(CLOSE, N))",fields-oscillators.md,,local,local_proxy,1
pcnt,"PCNT = (CLOSE-REF(CLOSE,1))/CLOSE*100;",fields-volume-indicators.md,,,local_proxy,1
profitability,盈利能力,fields-barra.md,platform,local,unknown,1
qtyr_5_20,"MA(VOLUME, N) / MA(VOLUME, M)",fields-volume-indicators.md,,,local_proxy,1
ratio_a_share_mv,A股市值,fields-valuation.md,,local,local_proxy,1
ratio_a_share_mv_float,流通A股市值,fields-valuation.md,,local,local_proxy,1
ratio_bm_lf,账面市值比lf,fields-valuation.md,,local,local_proxy,1
ratio_bm_lyr,账面市值比lyr,fields-valuation.md,,local,local_proxy,1
ratio_bm_ttm,账面市值比ttm,fields-valuation.md,platform,local,local_proxy,1
ratio_cfp_lyr,现金收益率lyr,fields-valuation.md,,local,local_proxy,1
ratio_cfp_ttm,现金收益率ttm,fields-valuation.md,platform,local,local_proxy,1
ratio_div_yield_ttm,股息率ttm,fields-valuation.md,,,unavailable,1
ratio_ep_lyr,盈市率lyr,fields-valuation.md,,local,local_proxy,1
ratio_ep_ttm,盈市率ttm,fields-valuation.md,platform,local,local_proxy,1
ratio_ev_ebitda_lyr,企业倍数lyr,fields-valuation.md,,local,local_proxy,1
ratio_ev_ebitda_ttm,企业倍数ttm,fields-valuation.md,platform,local,unavailable,1
ratio_ev_lf,企业价值lf,fields-valuation.md,,local,local_proxy,1
ratio_ev_lyr,企业价值lyr,fields-valuation.md,,local,local_proxy,1
ratio_ev_no_cash_ebit_lyr,企业倍数(不含货币资金)lyr,fields-valuation.md,,local,local_proxy,1
ratio_ev_no_cash_ebit_ttm,企业倍数(不含货币资金)ttm,fields-valuation.md,,,local_proxy,1
ratio_ev_no_cash_lf,企业价值(不含货币资金)lf,fields-valuation.md,,local,local_proxy,1
ratio_ev_no_cash_lyr,企业价值(不含货币资金)lyr,fields-valuation.md,,local,local_proxy,1
ratio_ev_no_cash_ttm,企业价值(不含货币资金)ttm,fields-valuation.md,,local,local_proxy,1
ratio_ev_ttm,企业价值ttm,fields-valuation.md,,local,local_proxy,1
ratio_market_cap_float,流通股总市值,fields-valuation.md,,local,local_proxy,1
ratio_market_cap_total,总市值,fields-valuation.md,,local,local_proxy,1
ratio_pb_lf,市净率lf,fields-valuation.md,,local,local_proxy,1
ratio_pb_lyr,市净率lyr,fields-valuation.md,,local,local_proxy,1
ratio_pb_ttm,市净率ttm,fields-valuation.md,,local,local_proxy,1
ratio_pcf_ocf_lyr,市现率_经营lyr,fields-valuation.md,,local,local_proxy,1
ratio_pcf_ocf_ttm,市现率_经营ttm,fields-valuation.md,platform,local,local_proxy,1
ratio_pcf_total_lyr,市现率_总现金流lyr,fields-valuation.md,,local,local_proxy,1
ratio_pcf_total_ttm,市现率_总现金流ttm,fields-valuation.md,,local,local_proxy,1
ratio_pe_lyr,市盈率lyr,fields-valuation.md,,,local_proxy,1
ratio_pe_ttm,市盈率ttm,fields-valuation.md,,,local_proxy,1
ratio_peg_lyr,PEG值lyr,fields-valuation.md,,local,local_proxy,1
ratio_peg_ttm,PEG值ttm,fields-valuation.md,,local,local_proxy,1
ratio_ps_lyr,市销率lyr,fields-valuation.md,,local,local_proxy,1
ratio_ps_ttm,市销率ttm,fields-valuation.md,,local,local_proxy,1
ratio_sp_lyr,销售收益率lyr,fields-valuation.md,,local,local_proxy,1
ratio_sp_ttm,销售收益率ttm,fields-valuation.md,platform,local,local_proxy,1
residual_volatility,残差波动率,fields-barra.md,platform,local,unknown,1
roc,"ROC = 100 * (CLOSE – REF(CLOSE, N) / REF(CLOSE, N)",fields-oscillators.md,,local,local_proxy,1
sy,"SY = COUNT(CLOSE>REF(CLOSE,1),N)/N*100",fields-volume-indicators.md,,local,local_proxy,1
wr,"WR = (HHV(HIGH, N) - CLOSE) / (HHV(HIGH, N) - LLV(LOW, N)) * 100",fields-oscillators.md,,local,local_proxy,1
