formula,source,gp_net_excess,corr_size,finite_share,raw_net,raw_turnover,neutralised_net,neutralised_turnover,net_kept
"Sub(TsDiv(Sub(TsMinMaxDiff(TsMean(ratio_bm_ttm,40),50),market_cap),50),market_cap)",net-scale-mining-20260923,0.2062645706713199,0.9999989231632173,0.7967145505097312,0.2235437479435888,0.08406866480559358,-0.14126655108591718,0.25568134900014183,-0.6319414091668792
"Sub(TsDiv(book_to_market_ratio_lyr,30),market_cap)",net-scale-mining-20260923,0.2062554888546467,0.9999989751107532,0.8401853568118629,0.22339943911635285,0.08516659169981164,-0.14358885989625142,0.25855330125651454,-0.642744943605101
"Sub(Sub(TsDiv(book_to_market_ratio_lyr,30),market_cap),market_cap)",net-scale-mining-20260923,0.2062554888546467,0.9999989751538858,0.8401853568118629,0.22339943911635285,0.08516659169981164,-0.14358885989625142,0.25855330125651454,-0.642744943605101
"Sub(Div(TsDiv(book_to_market_ratio_lyr,30),market_cap),market_cap)",net-scale-mining-20260923,0.2062554888546467,0.9999989752229648,0.8401853568118629,0.22339943911635285,0.08516659169981164,-0.14358885989625142,0.25855330125651454,-0.642744943605101
"Sub(TsMax(turnover,30),market_cap)",net-scale-mining-20260923,0.2062445013284683,0.9999989712863034,0.8412279888785913,0.22397522808712925,0.08522515850619473,-0.14202873241335212,0.25814779556861994,-0.6341269685328822
"Sub(TsMinMaxDiff(TsDiv(Sub(TsEMA(book_to_market_ratio_lf,10),market_cap),20),40),market_cap)",net-scale-mining-20260923,0.2062416852593422,0.9999989555285531,0.8251606425702811,0.22361207680838815,0.08433923760613993,-0.1423764961677204,0.2580525795542193,-0.6367120157366186
"Sub(TsIr(Sub(TsMinDiff(ratio_ep_ttm,30),market_cap),40),market_cap)",net-scale-mining-20260923,0.206235279071331,0.9999989432346523,0.8241936978683967,0.22323649494486458,0.08452698471070183,-0.1426147946962067,0.257765860625644,-0.6388507162837779
"Sub(TsMinMaxDiff(TsMax(ratio_sp_ttm,30),30),market_cap)",net-scale-mining-20260923,0.2062342247664928,0.999973070811696,0.8279301822675316,0.22451752515074597,0.08477123870055352,-0.1407651317858152,0.2573742325074579,-0.6269672342562231
"Sub(Mul(ratio_pcf_ocf_ttm,TsStd(TsMax(TsCorr(amount,Constant(10.0),20),10),50)),market_cap)",net-scale-mining-20260923,0.206232188129425,0.9999989501764901,0.8210194624652457,0.22376794013025067,0.08426706971577134,-0.14334143849656894,0.2572135233351456,-0.6405807660075562
"Sub(TsMinMaxDiff(TsCorr(TsSkew(TsVar(Inv(high),50),40),TsVar(TsMin(TsMaxDiff(volume,50),40),10),10),50),market_cap)",net-scale-mining-20260923,0.2062276109218597,0.9999989268026662,0.817018844609206,0.22366397145368005,0.08416916910115696,-0.14393422155625737,0.2569770269601641,-0.64352886439766
