holding_date,name,player,pid,pool,direction,cycle,rank_ic,ic,ic_mean,icir,n
20260911,divB_low vol 60d,瑞瑞,0072d685890943fb8842b5fd90960a73,ab0fafca3243a8c7d289c4f8,negative,5,0.529177597903036,0.3657875759797169,0.3657875759797169,,1
20260914,probe-dist-high60,sx因子,1e88d23fe8ae44c3b48321d4d252b9a8,f9c67377c33c2eba0f9bbe14,negative,4,-0.4982586124832031,-0.4269894724822679,-0.1738525598129711,-0.6816773276858066,3
20260911,v2-F-farlow,小海豚Buddy,fb7c575dbe704f6fb94a37110ae8e404,c7becad7dd6a5653123f8a61,negative,5,-0.4974886436621973,-0.4066834097687785,-0.2539044571019305,-1.1751459232854296,2
20260911,probe-60d high distance,陈死狗,3d718cebb8e04c7981e8626ec076afd9,fa186fd3bdd9507aeca17a87,negative,5,-0.4933760941501272,-0.4206366906000107,-0.2837109485214724,-1.465129438417298,2
20260915,R7-20260903-C01,挖挖人土,74777d9b64674ac9929151f8c312c2a5,d23363c6dc4806a6a83e6242,positive,3,-0.4620779919787566,-0.3973385302804427,-0.1098202435923403,-0.3816774328865264,3
20260909,QF-30,mk13579,bc919f74aebe43eca548552ddc412d64,9550bf664c3b34a663d782d2,positive,5,0.4558095296545936,0.4363691397322969,0.2090795380067094,0.6504545654947628,2
20260914,qbc-probe-QuantBC-LowVol60,QuantLink,b16d1f05d9394fc3907eebce85cd6e01,f33ac70bf8fd87cf9b64864f,negative,5,0.4418659578908598,0.3925391815824862,0.3925391815824862,,1
20260915,R7-20260903-C03,挖挖人土,74777d9b64674ac9929151f8c312c2a5,d23363c6dc4806a6a83e6242,positive,3,-0.4376881981964355,-0.3771131582742059,-0.1033438575799477,-0.3783105929658957,3
20260911,F-A05_60日低波动-克隆,小智,5341543d1aa846f6989d8edb76e554ba,a867a95df06f8e52eb84e3d7,negative,5,0.4343954064409893,0.3833712707539286,0.2218326077614492,0.9710328062063948,2
20260909,opt1-opt1-rev-40,我吐了再吃回去,42de026b792340f0b431865bf496da6e,203c6ec6bd940bfa19fe826b,negative,5,0.4255561409506736,0.3762963414443958,0.3762963414443958,,1
20260909,QF-41,mk13579,bc919f74aebe43eca548552ddc412d64,9550bf664c3b34a663d782d2,positive,5,0.4255561409506736,0.3762963414443958,0.1680201333204301,0.5704356571348251,2
20260911,r13_boll_upper,云淡风轻,369c9bc063214f4fb723a4bdc2b356f8,086c8833e6c9d0a4b32db220,negative,5,-0.4227106164976398,-0.3339024505289834,-0.3339024505289834,,1
20260909,QF-21,mk13579,bc919f74aebe43eca548552ddc412d64,9550bf664c3b34a663d782d2,positive,5,0.4217645995058612,0.3727376365613858,0.1662488925712895,0.569308123195088,2
