rank,weight,train_ic,train_rank_ic,valid_ic,valid_rank_ic,test_ic,test_rank_ic,formula
1,0.024193670600652695,0.024193670600652695,0.05597607418894768,0.0052269259467720985,0.021249739453196526,-0.009655904956161976,0.004636088386178017,"Sub(Sub(-10.0,$open),$close)"
2,0.006190059240907431,0.006190059706568718,0.01883835159242153,0.0011589336208999157,0.0288994200527668,-0.004640950821340084,0.011485906317830086,"Sub(Div(2.0,SLog1p(Log(TsPctChange($close,40)))),30.0)"
3,0.0034482027404010296,0.011965573765337467,-0.0018498332938179374,0.01335937436670065,-0.010913780890405178,0.008043473586440086,-0.003383093047887087,"Sign(Div(Div(5.0,TsMin($close,40)),5.0))"
4,0.0072844373062253,0.007284437771886587,0.006330233998596668,0.004190939478576183,-0.00718854321166873,0.003587314859032631,-0.0009054398396983743,"Abs(Less(1.0,Log($close)))"
5,0.001983369467779994,0.0019833692349493504,0.028996478766202927,-0.0007893283036537468,0.000689249369315803,-0.0009618204203434289,-0.009117161855101585,"Div(-1.0,Inv(Div(Add($low,Sub($high,$close)),Abs(Less(Add(SLog1p($volume),-10.0),1.0)))))"
6,0.03160271793603897,0.03192983940243721,0.05146665498614311,0.030613061040639877,0.07076354324817657,0.017627231776714325,0.050784092396497726,"Mul(-0.01,$volume)"
7,0.0021242827642709017,0.0021242827642709017,0.026000214740633965,-0.001946943229995668,0.007061447016894817,-0.00025620736414566636,-0.005775016266852617,"Mul(Inv(Abs(Sub(30.0,$close))),-30.0)"
8,0.0057041882537305355,0.0057041882537305355,0.00864677969366312,-0.0026406790129840374,0.011459732428193092,-0.012708129361271858,-0.007428603712469339,"TsSkew($volume,20)"
9,0.011157337576150894,0.011157337576150894,0.029752762988209724,0.016798758879303932,0.033177223056554794,0.02784469909965992,0.05004134774208069,"Div(-30.0,Div($vwap,Mul($high,30.0)))"
10,0.013841355219483376,0.013841355219483376,0.03290797024965286,0.012761858291924,0.04354159161448479,0.011343318969011307,0.03231078013777733,"Pow(TsIr(SLog1p($volume),40),1.0)"
11,0.0015493734972551465,0.0015493734972551465,-0.012451834976673126,0.0007838599849492311,-0.03491631895303726,0.004984356462955475,-0.017801111564040184,"Div(Add(Pow(-0.5,Pow($volume,TsSkew(Mul(10.0,$vwap),40))),2.0),1.0)"
12,0.003843996673822403,0.003843996673822403,0.023521214723587036,0.00749676488339901,0.017907975241541862,0.004741831682622433,0.006566334515810013,"Div(Less($volume,Add(TsDiv(Pow(0.01,$open),30),TsMinDiff($open,40))),-0.01)"
13,0.010201934725046158,0.010201934725046158,0.014742778614163399,0.014561926946043968,0.04804321750998497,0.013851093128323555,0.027200831100344658,"Sub(Sign(TsSum(TsMaxDiff(Sign(Pow(-0.5,$low)),20),20)),TsMaxDiff(Less($volume,Log($close)),30))"
14,0.030643505975604057,0.030643504112958908,0.06611186265945435,0.003041280433535576,0.038289256393909454,-0.013817989267408848,0.023923160508275032,"Mul(-10.0,TsMad(Mul(Sub(Log($high),-5.0),Log($open)),30))"
15,0.013017522171139717,0.013017522171139717,0.022942369803786278,0.010153205133974552,0.015611758455634117,0.007130594924092293,0.02406219020485878,"Div($low,$open)"
16,0.007934731431305408,0.008102801628410816,-0.004472199361771345,0.014018355868756771,-0.014202206395566463,0.015482044778764248,-0.009423219598829746,"Inv(Add(-10.0,Sign(TsKurt(Sub($close,10.0),50))))"
17,0.010216178372502327,0.010216179303824902,0.015118624083697796,-0.01132583525031805,-0.005553166847676039,-0.008199194446206093,-0.0029197032563388348,"Mul(Add(Inv(Sub(-1.0,SLog1p(TsMean($low,40)))),Rank(Less($low,-2.0))),-1.0)"
18,0.011517265811562538,0.011517266742885113,0.002131960354745388,0.0017884124536067247,-0.009707490913569927,0.0008798132766969502,-0.002180674811825156,"Rank(TsMax(Div(Sub(-0.01,Sub(Add(Add(Log(TsKurt($volume,30)),-30.0),0.01),-5.0)),$open),30))"
