formula,net_excess,gross_excess,turnover,annual_cost,periods,coverage,rank_ic,ic_mean,ic_ir,absolute_max_drawdown,excess_max_drawdown,run,objective
"TsMin(TsDiv(lma250,40),40)",-0.137347891652584,-0.1210343205928802,0.1078939884901046,0.0163135710597038,120,1.0,-0.0266875196248292,-0.0132133960723876,-0.1215388965560534,0.492579698562622,0.5121182203292847,front_wide_s9841,aligned_ic_frontier
"TsSum(ratio_a_share_mv,40)",-0.0986710784330964,-0.0955710437893867,0.0205028746277093,0.0031000346437096,120,1.0,-0.0474416054785251,-0.0051928209140896,-0.0792766081961143,0.3552976250648498,0.4093419313430786,front_wide_s9841,aligned_ic_frontier
"TsSum(market_cap,40)",-0.0986710784330964,-0.0955710437893867,0.0205028746277093,0.0031000346437096,120,1.0,-0.0474416054785251,-0.0051928209140896,-0.0792766081961143,0.3552976250648498,0.4093419313430786,front_wide_s9841,aligned_ic_frontier
"TsKurt(lma10,40)",-0.2477983467578888,-0.1166737568378448,0.8672261238098145,0.1311245899200439,120,1.0,-0.0141662349924445,-0.0153555404394865,-0.2598904379581373,0.4691628217697143,0.4499897956848144,front_wide_s9841,aligned_ic_frontier
"TsSkew(ev_to_ebitda_lyr,40)",-0.2049509432673454,-0.0877171799540519,0.7753555774688721,0.1172337633132934,120,1.0,-0.016193775460124,-0.0098485266789793,-0.2223765257246853,0.363936185836792,0.3736876249313354,front_wide_s9841,aligned_ic_frontier
"TsVar(TsStd(lma10,20),20)",-0.118946308350563,-0.0692738860845565,0.3285213112831116,0.0496724222660064,120,1.0,-0.0476018413901329,-0.0039149336516857,-0.104189182262636,0.5545011758804321,0.4927349090576172,front_wide_s9841,aligned_ic_frontier
"TsMed(obv,20)",-0.0872366228207945,-0.0843174505233764,0.0193066950887441,0.0029191722974181,120,1.0,-0.0147052118554711,-0.0127662504091858,-0.21816347403882,0.3483346104621887,0.3171412348747253,front_wide_s9841,aligned_ic_frontier
"Less(Ref(TsMax(lease_liabilities,40),50),TsMinMaxDiff(ratio_ev_lf,20))",-0.1678107218027114,-0.1072075688838958,0.4008145034313202,0.0606031529188156,120,1.0,-0.0591810420155525,-0.0049067162908613,-0.0857793683268603,0.3679648041725158,0.408557116985321,front_wide_s9841,aligned_ic_frontier
"TsSum(mamass,30)",-0.1474858511567116,-0.0789380863308906,0.4533582329750061,0.0685477648258209,120,1.0,-0.0282557010650634,-0.0122990095987916,-0.1114640572847606,0.4080526828765869,0.354972779750824,front_wide_s9841,aligned_ic_frontier
"TsEMA(asi,30)",-0.1028022076249122,-0.0400740042328834,0.4148690700531006,0.0627282033920288,120,1.0,-0.0282153319567441,-0.0047595654614269,-0.2311798906323494,0.3187445998191833,0.2763617038726806,front_wide_s9841,aligned_ic_frontier
"TsMinDiff(TsSkew(TsEMA(market_cap,40),30),20)",-0.2481446403980255,-0.1299333393573761,0.7818207740783691,0.1182113010406494,120,1.0,-0.0142583614215254,-0.0168164819478988,-0.2169562226295912,0.5072088241577148,0.5014923810958862,front_wide_s9841,aligned_ic_frontier
"Ref(macr1,20)",-0.1529789976596832,-0.0697952306270599,0.5501571893692017,0.0831837670326232,120,1.0,-0.0269984025508165,-0.0157697759568691,-0.1202904030515786,0.3507248163223266,0.3279351592063904,front_wide_s9841,aligned_ic_frontier
"TsMinDiff(TsEMA(sp_ratio_ttm,50),50)",-0.008487675717473,0.0215771924704313,0.1988417208194732,0.0300648681879043,120,1.0,0.0491805747151374,0.0051241316832602,0.0839069855212572,0.2238346338272094,0.1376932859420776,front_wide_s9841,aligned_ic_frontier
"TsDelta(TsStd(TsEMA(TsWMA(vol55,30),30),40),40)",-0.1392867363452911,-0.0827942472696304,0.3736275732517242,0.0564924890756607,120,1.0,-0.0168757829815149,-0.0114524140954017,-0.199241759397659,0.3852239847183227,0.4006741046905517,front_wide_s9841,aligned_ic_frontier
"TsWMA(cal_30d_up_down_diff,50)",-0.1394531400203705,-0.0896013790369033,0.3297074139118194,0.0498517609834671,120,1.0,-0.0258189756423234,-0.0154397496953606,-0.1324955301763288,0.4362169504165649,0.3727018237113952,front_wide_s9841,aligned_ic_frontier
"TsMinDiff(cyr,30)",-0.1307491129517555,-0.0558428648114204,0.4954116940498352,0.074906248140335,120,1.0,-0.0245163012295961,-0.0090922582894563,-0.1504261351029661,0.3112764358520508,0.2721931934356689,front_wide_s9841,aligned_ic_frontier
"TsMed(kdj_d,10)",-0.2334985209703445,-0.1138402265310287,0.7913908362388611,0.1196582944393158,120,1.0,-0.0261612068861722,-0.0139768747612833,-0.1255430433004504,0.4684669375419616,0.4626368880271911,front_wide_s9841,aligned_ic_frontier
"TsPctChange(TsMaxDiff(book_to_market_ratio_lyr,40),30)",-0.2070013823032379,-0.0902197802066803,0.7723650932312012,0.1167816020965576,120,1.0,-0.0369896255433559,-0.006394145078957,-0.1395013262017395,0.4042068123817444,0.37575763463974,front_wide_s9841,aligned_ic_frontier
"TsMaxDiff(TsWMA(TsMin(cal_30d_close_std_ratio,20),10),30)",-0.1022378688991069,-0.0079986195266246,0.6232754588127136,0.0942392493724823,120,1.0,0.0232877563685178,0.0139000918716192,0.1844557122194724,0.2819782495498657,0.1728609204292297,front_wide_s9841,aligned_ic_frontier
"TsWMA(TsMaxDiff(open,10),30)",-0.0351520008087158,0.0118887984752655,0.3111163973808288,0.0470407992839813,120,1.0,0.0416234955191612,0.0089123528450727,0.0773891660863968,0.1742726564407348,0.2329592704772949,front_wide_s9841,aligned_ic_frontier
"TsMaxDiff(ema60,10)",-0.2009881311893463,-0.1342817616462707,0.4411796927452087,0.0667063695430755,120,1.0,-0.0475312210619449,-0.0059873796999454,-0.0754198118081599,0.5085834860801697,0.4900179505348205,front_wide_s9841,aligned_ic_frontier
"TsSum(TsStd(TsMaxDiff(TsMean(TsWMA(vma10,30),40),10),50),30)",-0.0946523205757141,-0.0733775076270103,0.1407064348459243,0.0212748129487037,120,1.0,-0.0199514105916023,-0.0139013854786753,-0.1471311411743034,0.4907559752464294,0.4063692688941955,front_wide_s9841,aligned_ic_frontier
"TsStd(ev_no_cash_ttm,40)",-0.1633461705207824,-0.1203548240661621,0.2843343019485473,0.0429913464546203,120,1.0,-0.0461768731474876,-0.0056780222803354,-0.1249245747540616,0.3843692541122436,0.4299830794334411,front_wide_s9841,aligned_ic_frontier
"TsVar(amv60,50)",-0.1039843608498573,-0.0779564613103866,0.1721421927213668,0.0260278995394706,120,1.0,-0.04660389944911,-0.0044578784145414,-0.1008026561839659,0.5208293199539185,0.4885720610618591,front_wide_s9841,aligned_ic_frontier
"TsMean(obv,30)",-0.0853035726428032,-0.0828480890393257,0.01623997092247,0.0024554836034774,120,1.0,-0.0142594445496797,-0.0125979073345661,-0.2157146828423735,0.3445556759834289,0.3122309446334839,front_wide_s9841,aligned_ic_frontier
"TsMax(TsSum(TsWMA(ratio_bm_lyr,30),50),20)",0.0018730678305029,0.0055323998630046,0.0242019314318895,0.0036593320325016,120,1.0,0.0424040704965591,0.0107290903106331,0.0736304109399926,0.2180327177047729,0.2336363792419433,front_wide_s9841,aligned_ic_frontier
