id,name,report,formula,handler,direction,cycle,platform_net_excess_pct,platform_periods_full_window,recent_start,recent_end,recent_periods,recent_stock_count_mean,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,fidelity,factor_id,run_id,platform_rank_ic,platform_ic_mean,platform_ic_ir,platform_ic_p_value,platform_monotonicity,platform_turnover_pct,platform_gross_excess_pct,platform_annual_cost_pct,platform_long_sharpe,platform_long_max_drawdown_pct,platform_long_monthly_win_rate_pct,raw_result,configured_cycle,reason
huatai-series13-candidates.report:HT13-VALUE-BP,HT13-VALUE-BP,huatai-series13-candidates.report.csv,ratio_bm_ttm,value_bm,1,5,2.098992,241,2026-01-09 00:00:00,2026-08-24 00:00:00,31,5182.967741935484,0.036786626883384,0.0035025260931409734,3.549358337480963,4.144752742853397,1.2533732294388673,2.2959851080420957,,,,,,,,,,,,,,,,,
osr4-ret40-value-refine-candidates.report:OSR4-RET40-BP-CFP-SP,OSR4-RET40-BP-CFP-SP,osr4-ret40-value-refine-candidates.report.csv,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(ratio_bm_ttm) + RANK(ratio_cfp_ttm) + RANK(ratio_sp_ttm)) / 4",reversal_bm_cfp_sp,1,5,2.8768000000000002,241,2026-01-09 00:00:00,2026-08-24 00:00:00,31,5122.451612903225,0.04270968160905926,0.009674695005220899,6.879251222433562,17.73686852016505,5.363629040497911,1.515622181935651,,,,,,,,,,,,,,,,,
osr4-ret40-value-refine-candidates.report:OSR4-RET40-BP-CFP-TSRANK756,OSR4-RET40-BP-CFP-TSRANK756,osr4-ret40-value-refine-candidates.report.csv,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(TS_RANK(ratio_bm_ttm,756)) + RANK(TS_RANK(ratio_cfp_ttm,756))) / 3",reversal_bm_cfp_tsrank756,1,5,2.461280000000002,241,2026-01-09 00:00:00,2026-08-24 00:00:00,31,4692.870967741936,0.04764623580309626,0.012422042170504943,9.528010253006572,26.92515460607854,8.14216675287815,1.385843500128421,,,,,,,,,,,,,,,,,
t10-newdirections-20260911-candidates.report:T10-SIZE-PLUS-WC-MCAP,T10-SIZE-PLUS-WC-MCAP,t10-newdirections-20260911-candidates.report.csv,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK((CURRENT_ASSETS-INVENTORY-CURRENT_LIABILITIES)/(ABS(MARKET_CAP)+1))) / 5",t10_size_plus_wc_mcap,1,10,14.581016,120,2026-01-09 00:00:00,2026-08-10 00:00:00,15,5010.4,0.06433387804117566,0.016934440070622392,5.786311289856756,29.848197752187726,4.513047500130785,1.2732637897259715,,,,,,,,,,,,,,,,,
osr2-ret40-turn-bias-paper-nomcap-2026-ytd-candidates.report:OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD,OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD,osr2-ret40-turn-bias-paper-nomcap-2026-ytd-candidates.report.csv,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)))) / 3",reversal_turn_paper_nomcap,1,10,4.672727999999999,16,2026-01-05 00:00:00,2026-08-18 00:00:00,16,4987.4375,0.07426710129000731,0.018340029270088397,6.691521310320605,37.00450518171551,5.5950811834753855,1.096440126845219,,,,,,,,,,,,,,,,,
osr3-ret40-value-candidates.report:OSR3-RET40-BP-VAL2,OSR3-RET40-BP-VAL2,osr3-ret40-value-candidates.report.csv,"(RANK(1 - RETURNS(CLOSE,40)) + 2 * RANK(ratio_bm_ttm)) / 3",reversal_bm_val2,1,5,3.1676159999999998,241,2026-01-09 00:00:00,2026-08-24 00:00:00,31,5169.612903225807,0.04813238705590872,0.010155696157051494,7.954705080648897,22.708514006876793,6.867054635679542,1.0876504449693543,,,,,,,,,,,,,,,,,
osr4-ret40-value-refine-candidates.report:OSR4-RET40-BP-CFP-PCF,OSR4-RET40-BP-CFP-PCF,osr4-ret40-value-refine-candidates.report.csv,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(ratio_bm_ttm) + RANK(ratio_cfp_ttm) + 1 - RANK(ratio_pcf_ocf_ttm)) / 4",reversal_bm_cfp_pcf,1,5,2.6685920000000003,241,2026-01-09 00:00:00,2026-08-24 00:00:00,31,5121.129032258064,0.041659972059109984,0.01015987948980175,6.402709520218183,18.200493080695438,5.5038291076023,0.8988804126158836,,,,,,,,,,,,,,,,,
huatai-turn-bias-positive.report:HT13-TURN-BIAS-1M-POS,HT13-TURN-BIAS-1M-POS,huatai-turn-bias-positive.report.csv,"1 - MA(TURNOVER,21) / MA(TURNOVER,504)",turn_signal,1,5,6.395344000000001,158,2026-01-07 00:00:00,2026-08-27 00:00:00,32,5016.3125,0.05192151247548932,0.03137086650586404,4.891218209952457,14.021007537818667,4.239952679436366,0.6512655305160917,,,,,,,,,,,,,,,,,
huatai-series13-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,huatai-series13-candidates.report.csv,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",turn_bias,0,5,6.428368,158,2026-01-07 00:00:00,2026-08-27 00:00:00,32,5016.3125,-0.05192151247548932,-0.03137086650586404,4.885096547880559,14.026777132774814,4.241697404951104,0.6433991429294544,,,,,,,,,,,,,,,,,
combo-direct-4factor-paper-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,combo-direct-4factor-paper-20260909-candidates.report.csv,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)) - ZSCORE(RANK(MARKET_CAP)))) / 4",reversal_chip_turn_paper,1,10,12.774432000000001,120,2026-01-09 00:00:00,2026-08-10 00:00:00,15,4986.866666666667,0.06884247768714723,0.014405708892066613,5.619748556855094,34.48808046660758,5.214597766551066,0.40515079030402845,,,,,,,,,,,,,,,,,
