name,date,label_offset,stock_count,rank_ic,benchmark,group_return,excess,turnover,selected_count
daily_vwap_mean_x0.1,2021-09-07,0,4423,-0.20487511646142334,-0.002453279703591356,-0.02840241528054532,-0.025949135576953965,,443
daily_vwap_mean_x0.1,2021-09-23,0,4437,0.2952381731934767,-0.04192667216162856,-0.01220468479443237,0.029721987367196195,0.722972972972973,444
daily_vwap_mean_x0.1,2021-10-14,0,4455,0.07545516161784596,-0.0415048139094747,-0.0038896640073918286,0.03761514990208287,0.8094170403587444,446
daily_vwap_mean_x0.1,2021-10-28,0,4481,0.07779033656651956,0.0682067471567863,0.06613924768414839,-0.0020674994726379153,0.8195991091314031,449
daily_vwap_mean_x0.1,2021-11-11,0,4488,0.03722074949163576,0.04731346256334857,0.058657733161685544,0.011344270598336974,0.7661469933184855,449
daily_vwap_mean_x0.1,2021-11-25,0,4519,0.2998543931207016,0.0034282044573014517,0.028614145792673146,0.025185941335371696,0.7898230088495575,452
daily_vwap_mean_x0.1,2021-12-09,0,4532,0.05191659076090101,0.021144581692205525,0.007032699319441222,-0.014111882372764303,0.8348017621145374,454
daily_vwap_mean_x0.1,2021-12-23,0,4550,-0.07588605220794027,-0.0005411760252227138,-0.030955184319506026,-0.030414008294283312,0.701098901098901,455
daily_vwap_mean_x0.1,2022-01-07,0,4565,-0.06465067095482106,-0.027713494385127338,-0.03978134210307861,-0.012067847717951274,0.700218818380744,457
daily_vwap_mean_x0.1,2022-01-21,0,4583,-0.08246515502728918,-0.038386715944980665,-0.055623776979321964,-0.0172370610343413,0.7124183006535948,459
daily_vwap_mean_x0.1,2022-02-11,0,4600,0.33704506175719107,0.028195386047964347,0.06919620417102373,0.04100081812305939,0.7347826086956522,460
daily_vwap_mean_x0.1,2022-02-25,0,4617,-0.04078863592482121,-0.03655700907536328,-0.05813708193618138,-0.021580072860818103,0.7597402597402597,462
daily_vwap_mean_x0.1,2022-03-11,0,4626,-0.08432245641685576,-0.018261231346385815,-0.03165323047482986,-0.013391999128444045,0.7365010799136069,463
daily_vwap_mean_x0.1,2022-03-25,0,4640,-0.17235621237498897,-0.03194106819869667,-0.0642399235979289,-0.03229885539923223,0.7155172413793103,464
daily_vwap_mean_x0.1,2022-04-12,0,4642,-0.11420384602424322,-0.16936193165920096,-0.18047242398020105,-0.011110492321000087,0.7505376344086021,465
daily_vwap_mean_x0.1,2022-04-26,0,4657,0.27969206094276766,0.12159831128246418,0.15663235042257465,0.03503403914011047,0.778969957081545,466
daily_vwap_mean_x0.1,2022-05-13,0,4640,0.19321131998275298,0.02404400796697325,0.04509691178565724,0.021052903818683986,0.8577586206896551,464
daily_vwap_mean_x0.1,2022-05-27,0,4659,0.04027178542573971,0.05417438278188533,0.049436183793729396,-0.004738198988155931,0.8261802575107297,466
daily_vwap_mean_x0.1,2022-06-13,0,4697,0.006649763306980502,0.047704042560834506,0.03864243373490939,-0.009061608825925119,0.7021276595744681,470
daily_vwap_mean_x0.1,2022-06-27,0,4690,0.1273729429289816,-0.008849851998213046,-0.006568027830507668,0.0022818241677053774,0.7547974413646056,469
daily_vwap_mean_x0.1,2022-07-11,0,4692,0.0777969955690617,0.017648464223542718,0.019611160260248138,0.00196269603670542,0.7872340425531915,470
daily_vwap_mean_x0.1,2022-07-25,0,4700,-0.048110519889979116,0.026156372080449474,0.025891877461997143,-0.00026449461845233155,0.7638297872340425,470
daily_vwap_mean_x0.1,2022-08-08,0,4723,0.17511985919281994,0.026241671235049238,0.024079892811058795,-0.002161778423990443,0.733615221987315,473
daily_vwap_mean_x0.1,2022-08-22,0,4730,0.0023997230015673117,-0.044895356989325536,-0.07310741117646576,-0.02821205418714022,0.7885835095137421,473
daily_vwap_mean_x0.1,2022-09-05,0,4752,0.054920771743443286,-0.04341185645420087,-0.02986431621470389,0.013547540239496982,0.7079831932773109,476
daily_vwap_mean_x0.1,2022-09-20,0,4771,-0.011853440888028853,-0.06938117526729831,-0.07660982359729994,-0.007228648330001627,0.7154811715481171,478
daily_vwap_mean_x0.1,2022-10-11,0,4786,0.17274917196653578,0.05673122275847236,0.07690076411190709,0.020169541353434732,0.778705636743215,479
daily_vwap_mean_x0.1,2022-10-25,0,4807,0.14722516780028772,0.0605456335653959,0.07376416223307004,0.013218528667674145,0.7920997920997921,481
daily_vwap_mean_x0.1,2022-11-08,0,4828,0.0891857116721632,0.005634123207134987,0.004476789955207433,-0.0011573332519275534,0.7805383022774327,483
daily_vwap_mean_x0.1,2022-11-22,0,4844,-0.009872391898428293,0.02079491995134937,0.010462531490746217,-0.010332388460603152,0.8144329896907216,485
daily_vwap_mean_x0.1,2022-12-06,0,4857,-0.015276778752087274,-0.04699342201484622,-0.038973632733618035,0.008019789281228186,0.7139917695473251,486
daily_vwap_mean_x0.1,2022-12-20,0,4867,0.15215576633891392,0.015199810054836114,0.030909371250455855,0.01570956119561974,0.7166324435318275,487
daily_vwap_mean_x0.1,2023-01-04,0,4877,0.2204401610312679,0.019388871697897207,0.041924182379911114,0.022535310682013907,0.8032786885245902,488
daily_vwap_mean_x0.1,2023-01-18,0,4885,0.027397425334627842,0.05244160036007277,0.04512700437060315,-0.0073145959894696175,0.7955010224948875,489
daily_vwap_mean_x0.1,2023-02-08,0,4895,0.09623091339239988,0.015811414918342884,0.01656764834619264,0.0007562334278497576,0.7285714285714286,490
daily_vwap_mean_x0.1,2023-02-22,0,4903,0.04878880830984632,-0.008529272544558606,-0.017060313818763037,-0.008531041274204431,0.6924643584521385,491
daily_vwap_mean_x0.1,2023-03-08,0,4908,-0.11505048540337516,-0.0028569240774492933,-0.027005826278147727,-0.024148902200698433,0.645621181262729,491
daily_vwap_mean_x0.1,2023-03-22,0,4915,-0.13177820986290767,-0.003481381894327543,-0.010853548197792044,-0.007372166303464501,0.6504065040650406,492
daily_vwap_mean_x0.1,2023-04-06,0,4927,-0.026823721195619404,-0.005198483504333473,-0.017278988034924718,-0.012080504530591245,0.7809330628803246,493
daily_vwap_mean_x0.1,2023-04-20,0,4936,0.0432960138683611,-0.037629989600890215,-0.05285078719527333,-0.015220797594383113,0.7793522267206477,494
daily_vwap_mean_x0.1,2023-05-09,0,4917,0.3440963369274767,0.013849659138196779,0.04038346942151215,0.02653381028331537,0.8434959349593496,492
daily_vwap_mean_x0.1,2023-05-23,0,4943,0.15812478019554185,-0.0031181198586706657,0.03186009561322825,0.034978215471898916,0.8363636363636364,495
daily_vwap_mean_x0.1,2023-06-06,0,4944,-0.06463152244663901,0.02668860931340537,0.026658466520173448,-3.0142793231921483e-05,0.8646464646464647,495
daily_vwap_mean_x0.1,2023-06-20,0,4962,0.2549279521018952,0.008914978494264291,0.03043760478513307,0.021522626290868777,0.8048289738430583,497
daily_vwap_mean_x0.1,2023-07-06,0,4972,0.07868724264413193,-0.011628167553662756,-0.02337964180085957,-0.011751474247196813,0.8554216867469879,498
daily_vwap_mean_x0.1,2023-07-20,0,4982,-0.15576615991405274,0.013640598766784756,-0.0053471562732053625,-0.018987755039990117,0.7595190380761523,499
daily_vwap_mean_x0.1,2023-08-03,0,4997,0.11566229014269323,-0.02534388558871064,-0.02235172038455065,0.002992165204159989,0.73,500
daily_vwap_mean_x0.1,2023-08-17,0,5013,0.15002844853880273,-0.008923297821117275,0.004739242124983853,0.01366253994610113,0.7689243027888446,502
daily_vwap_mean_x0.1,2023-08-31,0,5027,0.18583594540520776,-0.010111977890790541,-0.001016320898002559,0.009095656992787983,0.8588469184890656,503
daily_vwap_mean_x0.1,2023-09-14,0,5042,0.07474781457968048,0.00869451136726692,0.010797919079653495,0.002103407712386575,0.8118811881188119,505
daily_vwap_mean_x0.1,2023-09-28,0,5046,-0.045879905604871735,-0.04867789785973485,-0.05514746870072996,-0.006469570840995108,0.7564356435643564,505
daily_vwap_mean_x0.1,2023-10-20,0,5057,0.04614757794539548,0.045207721956002804,0.044752865899512065,-0.0004548560564907392,0.7608695652173914,506
daily_vwap_mean_x0.1,2023-11-03,0,5065,0.03325615490992281,0.042827696520864045,0.05387291234360773,0.011045215822743683,0.7909270216962525,507
daily_vwap_mean_x0.1,2023-11-17,0,5064,0.03238825750153534,-0.0054615502293666,-0.012859472111652809,-0.0073979218822862085,0.7238658777120315,507
daily_vwap_mean_x0.1,2023-12-01,0,5074,-0.20092254369189905,-0.02244519676394494,-0.04506604440622837,-0.02262084764228343,0.7125984251968505,508
daily_vwap_mean_x0.1,2023-12-15,0,5078,0.2361940105501716,-0.0034044643498054735,0.0220427264639323,0.025447190813737773,0.6181102362204725,508
daily_vwap_mean_x0.1,2023-12-29,0,5076,0.02862977514798069,-0.03730646148183628,-0.048714733494304316,-0.011408272012468038,0.8641732283464567,508
daily_vwap_mean_x0.1,2024-01-15,0,5082,-0.11101591834312376,-0.08485985503524522,-0.10221199729610146,-0.01735214226085624,0.8133595284872299,509
daily_vwap_mean_x0.1,2024-01-29,0,5091,-0.21717050189710194,-0.09683250098000352,-0.09784320592739953,-0.00101070494739601,0.7450980392156863,510
daily_vwap_mean_x0.1,2024-02-20,0,5095,0.3812628313711144,0.08295683067244917,0.14748150686901185,0.06452467619656267,0.8568627450980393,510
daily_vwap_mean_x0.1,2024-03-05,0,5098,0.15731407981214304,0.07368007425456859,0.09343199414937316,0.01975191989480457,0.7490196078431373,510
daily_vwap_mean_x0.1,2024-03-19,0,5101,-0.027552040211332198,-0.003509406518108261,-0.01584096126879808,-0.01233155475068982,0.8473581213307241,511
daily_vwap_mean_x0.1,2024-04-02,0,5105,0.01335958136514677,-0.0851562736120801,-0.09418221794145157,-0.009025944329371469,0.7925636007827789,511
daily_vwap_mean_x0.1,2024-04-18,0,5107,0.40017327998373775,0.08389251005612748,0.1056831366384556,0.021790626582328124,0.8571428571428572,511
daily_vwap_mean_x0.1,2024-05-07,0,5091,0.019827982171959687,-0.014082421592178696,-0.011503901719171459,0.0025785198730072373,0.8666666666666667,510
daily_vwap_mean_x0.1,2024-05-21,0,5092,0.07311595605082054,-0.05202110881011872,-0.07347100848631827,-0.02144989967619955,0.7156862745098039,510
daily_vwap_mean_x0.1,2024-06-04,0,5089,0.03935764053897933,-0.01702228792371934,-0.006415649811558568,0.010606638112160774,0.7897838899803536,509
daily_vwap_mean_x0.1,2024-06-19,0,5094,0.14537575908772174,-0.04364713828448121,-0.04609531591457823,-0.002448177630097019,0.7843137254901961,510
daily_vwap_mean_x0.1,2024-07-03,0,5080,0.07684369634673477,-0.028081549503341248,-0.01968127157894783,0.008400277924393417,0.7913385826771654,508
daily_vwap_mean_x0.1,2024-07-17,0,5086,0.1794496175342155,0.037073350056534275,0.031976051166861,-0.005097298889673273,0.7524557956777996,509
daily_vwap_mean_x0.1,2024-07-31,0,5080,0.01014498221831348,-0.03175207770763197,-0.044288627630625556,-0.012536549922993585,0.7066929133858268,508
daily_vwap_mean_x0.1,2024-08-14,0,5084,-0.04030838733797761,-0.037281636718872316,-0.0501459161705167,-0.012864279451644381,0.7347740667976425,509
daily_vwap_mean_x0.1,2024-08-28,0,5083,0.08746417380081506,0.009506980657761427,0.008609131279299336,-0.0008978493784620907,0.787819253438114,509
daily_vwap_mean_x0.1,2024-09-11,0,5081,0.16621818848222436,0.13604112481837236,0.1481328624934624,0.012091737675090058,0.8035363457760314,509
