name,date,label_offset,stock_count,rank_ic,benchmark,group_return,excess,turnover,selected_count
aggregate_vwap_x10,2021-09-07,1,4423,0.05905185709201172,-0.02694909971589701,-0.01647472226545486,0.010474377450442149,,443
aggregate_vwap_x10,2021-09-23,1,4437,-0.1904917563667686,-0.033552457516919695,-0.07514122093144154,-0.04158876341452185,0.5225225225225225,444
aggregate_vwap_x10,2021-10-14,1,4455,-0.0809305473866544,-0.019472461313223437,0.0010297759010798556,0.020502237214303293,0.7802690582959642,446
aggregate_vwap_x10,2021-10-28,1,4481,-0.019596170873724204,0.061898845187257585,0.06528803265980453,0.003389187472546941,0.6503340757238307,449
aggregate_vwap_x10,2021-11-11,1,4488,0.006012140780260932,0.034874771397564085,0.045088815570385805,0.01021404417282172,0.6369710467706013,449
aggregate_vwap_x10,2021-11-25,1,4519,-0.09831600256930889,0.009620535881805099,-0.024380841656305535,-0.03400137753811063,0.4756637168141593,452
aggregate_vwap_x10,2021-12-09,1,4532,0.11530300317579163,0.0007208266989338935,-0.0045275093984179235,-0.005248336097351817,0.7004405286343612,454
aggregate_vwap_x10,2021-12-23,1,4550,0.0971859085258219,0.025403538383946808,0.012617179758335994,-0.012786358625610814,0.6417582417582417,455
aggregate_vwap_x10,2022-01-07,1,4565,-0.033146871224182944,-0.03925335279970501,-0.056624082449066485,-0.017370729649361476,0.6695842450765864,457
aggregate_vwap_x10,2022-01-21,1,4583,0.15331281346725592,-0.03566104214093314,-0.03161731377782744,0.004043728363105695,0.6949891067538126,459
aggregate_vwap_x10,2022-02-11,1,4600,-0.21647133741233862,0.02819344400635522,0.004536872479250832,-0.02365657152710439,0.5804347826086956,460
aggregate_vwap_x10,2022-02-25,1,4617,0.017446889260273966,-0.062267321726951916,-0.06802032321833269,-0.005753001491380777,0.8073593073593074,462
aggregate_vwap_x10,2022-03-11,1,4626,0.10173207677096936,0.004683636582630185,-0.0004654310615257173,-0.0051490676441559025,0.6479481641468683,463
aggregate_vwap_x10,2022-03-25,1,4640,0.08224670222620921,-0.046880877545097795,-0.04801215804639634,-0.0011312805012985427,0.625,464
aggregate_vwap_x10,2022-04-12,1,4642,-0.01490145301055754,-0.12847456444764518,-0.09257277126148404,0.03590179318616114,0.6989247311827957,465
aggregate_vwap_x10,2022-04-26,1,4657,-0.20786783743601916,0.09056507807571651,0.0604795433720826,-0.030085534703633912,0.8197424892703863,466
aggregate_vwap_x10,2022-05-13,1,4640,-0.0060229587134612555,0.031826808042291405,0.02081508385322226,-0.011011724189069146,0.9116379310344828,464
