expression,topic,depth,retriever_objective,train_ic,train_icir,train_rank_ic,train_size_corr,train_periods,train_gross_excess,train_turnover,train_annual_cost,train_net_excess,train_absolute_max_drawdown,train_excess_max_drawdown,valid_ic,valid_icir,valid_rank_ic,valid_size_corr,valid_periods,valid_gross_excess,valid_turnover,valid_annual_cost,valid_net_excess,valid_absolute_max_drawdown,valid_excess_max_drawdown,test_ic,test_icir,test_rank_ic,test_size_corr,test_periods,test_gross_excess,test_turnover,test_annual_cost,test_net_excess,test_absolute_max_drawdown,test_excess_max_drawdown
"TsRank($open,20)",interday price movements,1,-0.13170628557367972,0.01917596533894539,0.17472307836567785,0.03375564515590668,0.15150785446166992,728,-0.012121940516445735,0.7385668754577637,0.22334262313842773,-0.23546456365487348,0.3197885751724243,0.13578730821609497,0.017167305573821068,0.19062338281008007,0.04078921303153038,0.1367807686328888,241,-0.018056339876992362,0.7092044353485107,0.21446342124938964,-0.232519761126382,0.18719464540481567,0.07456374168395996,0.010496309958398342,0.07476850477946242,0.038274116814136505,0.16136732697486877,242,0.09809177331626416,0.7313899993896484,0.22117233581542967,-0.1230805624991655,0.23353391885757446,0.09544694423675537
"TsRank($close,20)",interday price movements,0,-0.13061436193051587,0.02229974791407585,0.19585610309591392,0.037719354033470154,0.15258266031742096,728,-0.04795830943813063,0.7369319200515747,0.2228482126235962,-0.27080652206172684,0.37709659337997437,0.18121272325515747,0.019808946177363396,0.22991572963967183,0.047465234994888306,0.13656191527843475,241,-0.01481757823910032,0.6968397498130798,0.21072434034347534,-0.22554191858257566,0.17835330963134766,0.08432275056838989,0.009322421625256538,0.06560171493650564,0.03765677288174629,0.16456590592861176,242,0.039099143072962764,0.7262104153633118,0.2196060296058655,-0.18050688653290275,0.30030357837677,0.15328454971313477
"TsRank($volume,20)",interday price movements,1,-0.13552154805552719,0.013335855677723885,0.19036829630478225,0.023881986737251282,0.08643481880426407,728,-0.025529907664207565,0.8269932270050049,0.2500827518463135,-0.27561265951052105,0.3368836045265198,0.1268520951271057,0.02258964255452156,0.3102897102359005,0.04030508175492287,0.10635466873645782,241,0.03196495005062648,0.8274174928665161,0.2502110498428345,-0.218246099792208,0.2062472105026245,0.06107586622238159,0.01083322986960411,0.14810368355133954,0.026454545557498932,0.08363422751426697,242,0.027889381907880307,0.8284958004951477,0.25053713006973266,-0.22264774816185234,0.21791523694992065,0.04609692096710205
"TsRank($turnover,20)",interday price movements,1,-0.13711566386369217,0.01320833433419466,0.18403035692793818,0.019613124430179596,0.08646327257156372,728,-0.026075316863517238,0.8271217346191406,0.25012161254882814,-0.27619692941234536,0.3383411765098572,0.1266932487487793,0.026016848161816597,0.3469763915115207,0.04430863633751869,0.10615451633930206,241,0.036562298451151165,0.8270448446273804,0.25009836101531985,-0.21353606256416868,0.2068728804588318,0.06139194965362549,0.010370491072535515,0.13938272011901215,0.02425980754196644,0.08314911276102066,242,0.023596448544412854,0.828496515750885,0.2505373463630676,-0.22694089781865479,0.21834754943847656,0.04687356948852539
"Div(TsMean($volume,20),Add($volume,1e-06))",volume movements,0,-0.14690718811409081,0.0010970899602398276,0.03266000688116528,-0.0018151927506551147,0.09472063183784485,728,-0.03930231683874784,0.6986899375915527,0.21128383712768553,-0.25058615396643336,0.3625797629356384,0.15523910522460938,0.007232623640447855,0.20193819149688758,0.0013037220342084765,0.10919225215911865,241,0.0038375992860112873,0.7127426862716675,0.21553338832855223,-0.21169578904254094,0.21433013677597046,0.07856631278991699,0.007678619120270014,0.2218145312971482,0.0021480522118508816,0.08393214643001556,242,-0.013899514451622963,0.7095621824264526,0.21457160396575925,-0.2284711184173822,0.244378924369812,0.08308917284011841
"TsRank(Sub($turnover,$close),20)",interday price movements,2,-0.14597579088916163,0.003821607679128647,0.057115375735827256,0.0024569553788751364,0.09349386394023895,728,-0.04870025915642307,0.7898120284080505,0.23883915739059447,-0.28753941654701753,0.3455124497413635,0.15831732749938965,0.017319398000836372,0.26116327712967946,0.027407275512814522,0.08332055807113647,241,-0.09186287692614964,0.8169693350791931,0.247051526927948,-0.33891440385409766,0.17737358808517456,0.08983808755874634,0.006201941519975662,0.0650899738562806,-0.002702992409467697,0.0807044580578804,242,-0.016449277102947236,0.7833730578422546,0.23689201269149782,-0.25334128979444503,0.182206392288208,0.13050049543380737
"TsRank(TsPctChange($volume,20),20)",interday price movements,2,-0.14283893619015137,0.005506754852831364,0.08533708960918765,0.006244521588087082,0.07837427407503128,728,0.011247819253843125,0.8536482453346252,0.25814322938919065,-0.24689541013534752,0.3263666033744812,0.07691019773483276,0.026452764868736267,0.39985479853704814,0.03365004435181618,0.09362657368183136,241,0.14665006910051617,0.8488251566886902,0.2566847273826599,-0.11003465828214373,0.17819982767105103,0.02745950222015381,0.012554485350847244,0.2106052582802374,0.015566427260637283,0.0730028823018074,242,-0.009154076781123876,0.8520606756210327,0.2576631483078003,-0.2668172250889242,0.2220631241798401,0.05866849422454834
"TsRank(TsPctChange($close,20),20)",interday price movements,3,-0.14092718653714353,0.008828218095004559,0.08537993034810172,0.014608289115130901,0.1551508754491806,728,-0.02582995499650093,0.7659329771995544,0.23161813230514525,-0.2574480873016462,0.3144189715385437,0.11408555507659912,0.027306679636240005,0.3306949098357379,0.04362994804978371,0.118339404463768,241,0.10293542657579695,0.7541419863700867,0.22805253667831418,-0.12511711010251725,0.1753777265548706,0.040794968605041504,0.0025718873366713524,0.0210376627295305,0.011062489822506905,0.13244874775409698,242,-0.12086211517453194,0.7716494202613831,0.23334678468704226,-0.3542088998615742,0.2826864719390869,0.20285958051681519
"TsRank(TsPctChange($open,20),20)",interday price movements,3,-0.14219617012470098,0.007266311906278133,0.07275972483027175,0.013056814670562744,0.1538238823413849,728,-0.02549143339673134,0.7601035237312317,0.22985530557632447,-0.2553467389730558,0.31294262409210205,0.10572808980941772,0.024647744372487068,0.30835894470242914,0.03659478947520256,0.11938751488924026,241,0.06045700652258737,0.7554709315299988,0.22845440969467165,-0.16799740317208428,0.18168336153030396,0.043256402015686035,0.004256656393408775,0.035698802359616,0.013528486713767052,0.1309322863817215,242,-0.14752017483115196,0.7524595856666565,0.22754377870559692,-0.3750639535367489,0.2967018485069275,0.21703952550888062
